#    X_IMAGE      Y_IMAGE    X_WORLD    Y_WORLD    FLUX_STACK        FLUX_0        FLUX_1        FLUX_2        FLUX_3        FLUX_4        MEDIAN         SNR
 1675.624268   885.270813  50.051296  41.366915  2.939493e+07  2.873265e+07  2.889695e+07  2.916284e+07  2.895643e+07  2.884691e+07  2.892669e+07  240.665423
 1675.514404   461.147552  50.043141  41.350870  5.865541e+06  5.817038e+06  5.812127e+06  5.829026e+06  5.819264e+06  5.804957e+06  5.815695e+06  653.499668
 1572.794312   263.704773  50.034168  41.344886  6.194218e+07  6.200281e+07  6.857158e+07  6.196014e+07  6.025963e+07  5.676382e+07  6.110989e+07   14.247842
  695.572144   214.694962  49.988974  41.355719  9.605618e+06  9.621454e+06  9.633023e+06  9.581749e+06  9.526921e+06  9.515865e+06  9.554335e+06  204.042266
 1439.694946   102.391418  50.024358  41.340708  2.409045e+05  2.614427e+05  2.621096e+05  2.634221e+05  2.393407e+05  2.398817e+05  2.509956e+05   21.659586
 1801.674561    86.894592  50.042316  41.334883  2.513126e+06  2.446814e+06  2.456268e+06  2.450597e+06  2.420785e+06  2.415736e+06  2.435691e+06  136.915289
  852.157166    49.690311  49.993709  41.347211  8.372786e+06  7.928147e+06  7.761484e+06  8.033946e+06  8.385527e+06  8.371556e+06  8.202751e+06   31.665824
  706.528259  2181.669922  50.027297  41.429994  4.202695e+05  4.159355e+05  4.173899e+05  4.141662e+05  4.185035e+05  4.161866e+05  4.167882e+05  259.281728
 1015.055115  2167.421875  50.042604  41.424989  2.589088e+05  2.559050e+05  2.511313e+05  1.014775e+05  2.571199e+05  2.555665e+05  2.533489e+05    3.818776
 2438.775879  2139.172852  50.113932  41.403288  8.027776e+05  7.017925e+05  8.140318e+05  7.781166e+05  7.762571e+05  6.833512e+05  7.771868e+05   16.072879
 2391.751709  1974.506592  50.108387  41.397742  8.499580e+04  7.542032e+04  7.958616e+04  7.445456e+04  7.473246e+04  7.296767e+04  7.459351e+04   29.972813
